"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=example,DC=com","Administrators","S-1-5-32-544","544","group","True","example","example.com"
"CN=Users,CN=Builtin,DC=example,DC=com","Users","S-1-5-32-545","545","group","True","example","example.com"
"CN=Guests,CN=Builtin,DC=example,DC=com","Guests","S-1-5-32-546","546","group","True","example","example.com"
"CN=Account Operators,CN=Builtin,DC=example,DC=com","Account Operators","S-1-5-32-548","548","group","True","example","example.com"
"CN=Server Operators,CN=Builtin,DC=example,DC=com","Server Operators","S-1-5-32-549","549","group","True","example","example.com"
"CN=Print Operators,CN=Builtin,DC=example,DC=com","Print Operators","S-1-5-32-550","550","group","True","example","example.com"
"CN=Backup Operators,CN=Builtin,DC=example,DC=com","Backup Operators","S-1-5-32-551","551","group","True","example","example.com"
"CN=Replicator,CN=Builtin,DC=example,DC=com","Replicator","S-1-5-32-552","552","group","True","example","example.com"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=example,DC=com","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","example","example.com"
"CN=Remote Desktop Users,CN=Builtin,DC=example,DC=com","Remote Desktop Users","S-1-5-32-555","555","group","True","example","example.com"
"CN=Network Configuration Operators,CN=Builtin,DC=example,DC=com","Network Configuration Operators","S-1-5-32-556","556","group","True","example","example.com"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=example,DC=com","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","example","example.com"
"CN=Performance Monitor Users,CN=Builtin,DC=example,DC=com","Performance Monitor Users","S-1-5-32-558","558","group","True","example","example.com"
"CN=Performance Log Users,CN=Builtin,DC=example,DC=com","Performance Log Users","S-1-5-32-559","559","group","True","example","example.com"
"CN=Windows Authorization Access Group,CN=Builtin,DC=example,DC=com","Windows Authorization Access Group","S-1-5-32-560","560","group","True","example","example.com"
"CN=Terminal Server License Servers,CN=Builtin,DC=example,DC=com","Terminal Server License Servers","S-1-5-32-561","561","group","True","example","example.com"
"CN=Distributed COM Users,CN=Builtin,DC=example,DC=com","Distributed COM Users","S-1-5-32-562","562","group","True","example","example.com"
"CN=IIS_IUSRS,CN=Builtin,DC=example,DC=com","IIS_IUSRS","S-1-5-32-568","568","group","True","example","example.com"
"CN=Cryptographic Operators,CN=Builtin,DC=example,DC=com","Cryptographic Operators","S-1-5-32-569","569","group","True","example","example.com"
"CN=Event Log Readers,CN=Builtin,DC=example,DC=com","Event Log Readers","S-1-5-32-573","573","group","True","example","example.com"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=example,DC=com","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","example","example.com"
"CN=RDS Remote Access Servers,CN=Builtin,DC=example,DC=com","RDS Remote Access Servers","S-1-5-32-575","575","group","True","example","example.com"
"CN=RDS Endpoint Servers,CN=Builtin,DC=example,DC=com","RDS Endpoint Servers","S-1-5-32-576","576","group","True","example","example.com"
"CN=RDS Management Servers,CN=Builtin,DC=example,DC=com","RDS Management Servers","S-1-5-32-577","577","group","True","example","example.com"
"CN=Hyper-V Administrators,CN=Builtin,DC=example,DC=com","Hyper-V Administrators","S-1-5-32-578","578","group","True","example","example.com"
"CN=Access Control Assistance Operators,CN=Builtin,DC=example,DC=com","Access Control Assistance Operators","S-1-5-32-579","579","group","True","example","example.com"
"CN=Remote Management Users,CN=Builtin,DC=example,DC=com","Remote Management Users","S-1-5-32-580","580","group","True","example","example.com"
"CN=Storage Replica Administrators,CN=Builtin,DC=example,DC=com","Storage Replica Administrators","S-1-5-32-582","582","group","True","example","example.com"
"CN=Administrator,CN=Users,DC=example,DC=com","Administrator","S-1-5-21-3170668003-4050164859-1735224712-500","500","user","True","example","example.com"
"CN=Guest,CN=Users,DC=example,DC=com","Guest","S-1-5-21-3170668003-4050164859-1735224712-501","501","user","True","example","example.com"
"CN=krbtgt,CN=Users,DC=example,DC=com","krbtgt","S-1-5-21-3170668003-4050164859-1735224712-502","502","user","True","example","example.com"
"CN=Domain Admins,CN=Users,DC=example,DC=com","Domain Admins","S-1-5-21-3170668003-4050164859-1735224712-512","512","group","True","example","example.com"
"CN=Domain Users,CN=Users,DC=example,DC=com","Domain Users","S-1-5-21-3170668003-4050164859-1735224712-513","513","group","True","example","example.com"
"CN=Domain Guests,CN=Users,DC=example,DC=com","Domain Guests","S-1-5-21-3170668003-4050164859-1735224712-514","514","group","True","example","example.com"
"CN=Domain Computers,CN=Users,DC=example,DC=com","Domain Computers","S-1-5-21-3170668003-4050164859-1735224712-515","515","group","True","example","example.com"
"CN=Domain Controllers,CN=Users,DC=example,DC=com","Domain Controllers","S-1-5-21-3170668003-4050164859-1735224712-516","516","group","True","example","example.com"
"CN=Cert Publishers,CN=Users,DC=example,DC=com","Cert Publishers","S-1-5-21-3170668003-4050164859-1735224712-517","517","group","True","example","example.com"
"CN=Group Policy Creator Owners,CN=Users,DC=example,DC=com","Group Policy Creator Owners","S-1-5-21-3170668003-4050164859-1735224712-520","520","group","True","example","example.com"
"CN=Read-only Domain Controllers,CN=Users,DC=example,DC=com","Read-only Domain Controllers","S-1-5-21-3170668003-4050164859-1735224712-521","521","group","True","example","example.com"
"CN=Cloneable Domain Controllers,CN=Users,DC=example,DC=com","Cloneable Domain Controllers","S-1-5-21-3170668003-4050164859-1735224712-522","522","group","True","example","example.com"
"CN=Protected Users,CN=Users,DC=example,DC=com","Protected Users","S-1-5-21-3170668003-4050164859-1735224712-525","525","group","True","example","example.com"
"CN=Key Admins,CN=Users,DC=example,DC=com","Key Admins","S-1-5-21-3170668003-4050164859-1735224712-526","526","group","True","example","example.com"
"CN=RAS and IAS Servers,CN=Users,DC=example,DC=com","RAS and IAS Servers","S-1-5-21-3170668003-4050164859-1735224712-553","553","group","True","example","example.com"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=example,DC=com","Allowed RODC Password Replication Group","S-1-5-21-3170668003-4050164859-1735224712-571","571","group","True","example","example.com"
"CN=Denied RODC Password Replication Group,CN=Users,DC=example,DC=com","Denied RODC Password Replication Group","S-1-5-21-3170668003-4050164859-1735224712-572","572","group","True","example","example.com"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=example,DC=com","Enterprise Read-only Domain Controllers","S-1-5-21-3170668003-4050164859-1735224712-498","498","group","True","example","example.com"
"CN=Schema Admins,CN=Users,DC=example,DC=com","Schema Admins","S-1-5-21-3170668003-4050164859-1735224712-518","518","group","True","example","example.com"
"CN=Enterprise Admins,CN=Users,DC=example,DC=com","Enterprise Admins","S-1-5-21-3170668003-4050164859-1735224712-519","519","group","True","example","example.com"
"CN=Enterprise Key Admins,CN=Users,DC=example,DC=com","Enterprise Key Admins","S-1-5-21-3170668003-4050164859-1735224712-527","527","group","True","example","example.com"
